"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","test_dc_SourceToStage_Validation","tests","Tue Sep 02 02:05:59 IST 2025","passed","Tue Sep 02 02:05:59 IST 2025","","test_smoke_suite","",""
"","0","test_scd_metadata_field_validation","tests","Tue Sep 02 02:06:00 IST 2025","skipped","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","35","test_Garbage_value_validation","tests","Tue Sep 02 02:06:00 IST 2025","passed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","136","test_datacompleteness_StoS_validation","tests","Tue Sep 02 02:05:59 IST 2025","passed","Tue Sep 02 02:05:59 IST 2025","","test_smoke_suite","",""
"","20","test_Other_validation","tests","Tue Sep 02 02:06:00 IST 2025","passed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","60","test_dc_SourceToTarget_Validation","tests","Tue Sep 02 02:06:00 IST 2025","passed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","47","test_count_validation","tests","Tue Sep 02 02:05:59 IST 2025","failed","Tue Sep 02 02:05:59 IST 2025","","test_smoke_suite","",""
"","38","test_transformation_sourceTotarget_validation","tests","Tue Sep 02 02:06:00 IST 2025","failed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","79","test_datacompleteness_StoT_validation","tests","Tue Sep 02 02:05:59 IST 2025","failed","Tue Sep 02 02:05:59 IST 2025","","test_smoke_suite","",""
"","399","test_Datatype_constraint_validation","tests","Tue Sep 02 02:06:00 IST 2025","failed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","70","test_Date_field_validation","tests","Tue Sep 02 02:06:00 IST 2025","failed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","33","test_Duplicate_validation","tests","Tue Sep 02 02:06:00 IST 2025","passed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","40","test_scd_StoS_validation","tests","Tue Sep 02 02:06:00 IST 2025","passed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","0","test_null_validation","tests","Tue Sep 02 02:06:00 IST 2025","skipped","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
"","41","test_scd_StoT_validation","tests","Tue Sep 02 02:06:00 IST 2025","failed","Tue Sep 02 02:06:00 IST 2025","","test_smoke_suite","",""
